Element;H;C;N;O;Mg;Si;P;Cl;Ca;;
Z;1;6;7;8;12;14;15;17;20;;
A;1.008;12.010;14.010;16;24.31;28.090;30.97;35.45;40.08;Rel. e density;Rel. m density
CB2-30%;0.0668;0.5348;0.0212;0.2561;0;0;0;0.0011;0.1201;1.280;1.335
Lung 300;0.0846;0.5938;0.0196;0.1814;0.1119;0.0078;0;0.001;0;0.29;0.28
Inner Bone;0.0667;0.5564;0.0196;0.2352;0;0;0.0323;0.0011;0.0887;1.090;1.143
Solid Water;0.0802;0.6723;0.0241;0.1991;0;0;0;0.0014;0.0231;0.99;1.018
Cort Bone;0.0341;0.3141;0.0184;0.365;0;0;0;0.0004;0.2681;1.690;1.825
Liver;0.0806;0.6701;0.0247;0.2001;0;0;0;0.0014;0.0231;1.060;1.097
Brain;0.1083;0.7254;0.0169;0.1486;0;0;0;0.0008;0;1.040;1.053
Lung 450;0.0847;0.5957;0.0197;0.1811;0.1121;0.0058;0;0.001;0;0.44;0.4
Solid Water;0.0802;0.6723;0.0241;0.1991;0;0;0;0.0014;0.0231;0.99;1.018
Adipose;0.0906;0.723;0.0225;0.1627;0;0;0;0.0013;0;0.93;0.942
Solid Water;0.0802;0.6723;0.0241;0.1991;0;0;0;0.0014;0.0231;0.99;1.018
B-200;0.0665;0.5552;0.0198;0.2364;0;0;0.0324;0.0011;0.0887;1.100;1.154
Muscle;0.081;0.6717;0.0242;0.1985;0;0;0;0.0014;0.0232;1.020;1.050
CB2-50%;0.0477;0.4163;0.0152;0.32;0;0;0;0.0008;0.2002;1.470;1.560
Water;0.1119;0;0;0.8881;0;0;0;0;0;1;1
Breast;0.0859;0.7011;0.0225;0.1627;0;0;0;0.0013;0.0095;0.96;0.977
I (eV);19.020;81.0;82.0;106.0;176.3;195.5;195.5;180.0;215.8;;
