HU_t;RSP_t
-42.13665206;1.03053886
-60.24346713;1.011529822
-78.39945795;0.9925201438
-40.54722584;1.040323623
-191.7045531;1.050799849
15.21096703;1.087480397
4.78833918;1.078011142
45.26677429;1.115930603
33.17854992;1.100097293
-26.37877851;1.049617732
2.546607383;1.07804826
39.23895173;1.11601244
-43.16155801;1.024041551
-66.4128686;1.001899258
413.4697466;1.582871779
-5.121033445;1.055387167
39.11353893;1.122364992
64.30561671;1.148923685
17.99980504;1.087325143
35.61596075;1.106436205
24.66740801;1.096921678
45.84234651;1.11595786
35.18593758;1.10641208
-88.7200673;0.9830917015
43.56724648;1.115957173
24.66590059;1.096983038
33.98131885;1.106474969
-743.5335409;0.2739398502
28.56189043;1.096818387
21.74055121;1.087246304
34.4250494;1.106414673
40.0489783;1.109573138
29.55138063;1.100127079
231.637821;1.376298936
78.64462337;1.150772546
1076.083549;1.887668607
710.4875378;1.609701534
393.1163369;1.356044157
266.2636485;1.255576047
537.8898182;1.473420991
791.366402;1.673134254
12.4719194;1.087689861
470.091715;1.428990664
603.9416895;1.530458975
328.534276;1.322258438
447.6520253;1.413159905
205.676823;1.220809649
481.7110825;1.438503349
376.1342829;1.356048793
-31.26331988;1.043475749
64.58763798;1.144709233
44.12694191;1.115947314
31.56015621;1.100036677
33.15222569;1.106416733
29.18125935;1.096832327
27.01051146;1.090417764
635.7471556;1.664150854
1525.903782;2.223722429
497.6896155;1.7226707
0;1.061774401
