Substitute;Calculated;Manual;Relative error;Diff;100*diff/teo
Lung300;0.273;0.290;0.062;-0.017;-6.227
Lung450;0.390;0.440;0.128;-0.050;-12.821
Adipose;0.924;0.930;0.006;-0.006;-0.649
Breast;0.939;0.960;0.022;-0.021;-2.236
Solid W;0.989;0.990;0.001;-0.001;-0.101
Water;1.000;1.000;0.000;0.000;0.000
Muscle;1.021;1.020;0.001;0.001;0.098
Brain;1.049;1.040;0.009;0.009;0.858
Liver;1.066;1.060;0.006;0.006;0.563
Inner B;1.095;1.090;0.005;0.005;0.457
B-200;1.106;1.100;0.005;0.006;0.542
CB2-3;1.281;1.280;0.001;0.001;0.078
CB2-5;1.470;1.470;0.000;0.000;0.000
Cort. B;1.698;1.690;0.005;0.008;0.471
